url;judul_singkat;konten;judul;label;ringkasan;tanggal
https://turnbackhoax.id/articles?category=tekno&page=6;[PENIPUAN] Akun WhatsApp Pejabat Dinas Perkebunan Provinsi...;Tidak di tampilkan;[PENIPUAN] Akun WhatsApp Pejabat Dinas...;Tekno;Tidak di tampilkan;21/08/2024
https://turnbackhoax.id/articles?category=tekno&page=6;[PENIPUAN] AKUN TIRUAN HAJI HELLDY AGUSTIAN;“Alhamdulillah baik jika memang benar ada. bisa di bantu...;[PENIPUAN] AKUN TIRUAN HAJI HELLDY...;Tekno;“Alhamdulillah baik jika memang benar ada....;21/08/2024
https://turnbackhoax.id/articles?category=tekno&page=6;[PENIPUAN] Akun Facebook Endang Tri Purwanto Kapolres...;“Endang Tri Purwanto @endang.tri.purwanto”;[PENIPUAN] Akun Facebook Endang Tri...;Tekno;“Endang Tri Purwanto @endang.tri.purwanto”;31/07/2024
https://turnbackhoax.id/articles?category=tekno&page=6;[PENIPUAN] Akun Tiruan Kapolres Kepahiang AKBP Munarianto;-;[PENIPUAN] Akun Tiruan Kapolres Kepahiang...;Tekno;-;31/07/2024
https://turnbackhoax.id/articles?category=tekno&page=6;[PENIPUAN] Akun Facebook Ketua KPU di Mimika...;Akun Facebook Ketua KPU di Mimika “Abagau Dete”;[PENIPUAN] Akun Facebook Ketua KPU...;Tekno;Akun Facebook Ketua KPU di Mimika...;31/07/2024
https://turnbackhoax.id/articles?category=tekno&page=6;[PENIPUAN] Akun WhatsApp Kajari Blitar Muhamad Yunus;“Selamat siiang Camat Panggungrejo … Mohon ijin salam hormat...;[PENIPUAN] Akun WhatsApp Kajari Blitar...;Tekno;“Selamat siiang Camat Panggungrejo … Mohon...;31/07/2024
https://turnbackhoax.id/articles?category=tekno&page=6;[PENIPUAN] Akun Instagram Kadis Kominfo KBB;Kepala Dinas Kominfo KBB;[PENIPUAN] Akun Instagram Kadis Kominfo...;Tekno;Kepala Dinas Kominfo KBB;30/07/2024
https://turnbackhoax.id/articles?category=tekno&page=6;[PENIPUAN] Akun WA Sekda Seluma Hadianto;“Assalamualaikum warahmatullahi wr wb Pak Hasyim Disave no Bapak...;[PENIPUAN] Akun WA Sekda Seluma...;Tekno;“Assalamualaikum warahmatullahi wr wb Pak Hasyim...;30/07/2024
https://turnbackhoax.id/articles?category=tekno&page=6;[PENIPUAN] Pengobatan Ida Dayak di Gedung Wanita...;“Ida Dayak akan Hadir di Semarang. Jangan lewatkan pengobatan...;[PENIPUAN] Pengobatan Ida Dayak di...;Tekno;“Ida Dayak akan Hadir di Semarang....;30/07/2024
https://turnbackhoax.id/articles?category=tekno&page=6;[SALAH] HANYA DI IKN TANAH DIJAHIT;"""Cuman d IKN tanah di jahit""";[SALAH] HANYA DI IKN TANAH...;Tekno;"""Cuman d IKN tanah di jahit""";27/07/2024
https://turnbackhoax.id/articles?category=hadiah&page=2;[PENIPUAN] Menkeu Purbaya Bagi-bagi Uang Khusus Lansia;Akun Facebook “Pelunas Hutang Real” pada Kamis (19/2/2026) membagikan...;[PENIPUAN] Menkeu Purbaya Bagi-bagi Uang...;Hadiah;Akun Facebook “Pelunas Hutang Real” pada...;23/02/2026
https://turnbackhoax.id/articles?category=hadiah&page=2;[PENIPUAN] Tautan Pendaftaran Festival SeaBank Berhadiah;Akun Facebook “Program SeaBank 2026” pada Sabtu (7/2/2026) mengunggah...;[PENIPUAN] Tautan Pendaftaran Festival SeaBank...;Hadiah;Akun Facebook “Program SeaBank 2026” pada...;18/02/2026
https://turnbackhoax.id/articles?category=hadiah&page=2;[PENIPUAN] Giveaway dari PT Astra Honda Motor...;Akun Facebook “Mr Bule Official” pada Senin (1/12/2025) membagikan...;[PENIPUAN] Giveaway dari PT Astra...;Hadiah;Akun Facebook “Mr Bule Official” pada...;11/02/2026
https://turnbackhoax.id/articles?category=hadiah&page=2;[PENIPUAN] Tautan “Undian Berhadiah dari BCA”;Akun Facebook “Anda Di Tandai Sebagai Pemenang Undian” pada...;[PENIPUAN] Tautan “Undian Berhadiah dari...;Hadiah;Akun Facebook “Anda Di Tandai Sebagai...;09/02/2026
https://turnbackhoax.id/articles?category=hadiah&page=2;[PENIPUAN] Tautan Kupon Undian Livin Mandiri;Akun Facebook “Promo Update Terbaru” pada Rabu (4/2/2026) mengunggah...;[PENIPUAN] Tautan Kupon Undian Livin...;Hadiah;Akun Facebook “Promo Update Terbaru” pada...;09/02/2026
https://turnbackhoax.id/articles?category=hadiah&page=2;[PENIPUAN] Undian Berhadiah Bank BSI 2026;Beredar unggahan tautan [arsip] dari akun Facebook “Selamat anda...;[PENIPUAN] Undian Berhadiah Bank BSI...;Hadiah;Beredar unggahan tautan [arsip] dari akun...;07/02/2026
https://turnbackhoax.id/articles?category=hadiah&page=2;[PENIPUAN] Undian Berhadiah Mengatasnamakan Bank BJB;Beredar unggahan tautan [arsip] dari akun Facebook “Anda Sedang...;[PENIPUAN] Undian Berhadiah Mengatasnamakan Bank...;Hadiah;Beredar unggahan tautan [arsip] dari akun...;07/02/2026
https://turnbackhoax.id/articles?category=hadiah&page=2;[PENIPUAN] Tautan Pendaftaran Undian Berhadiah Bank Nagari...;Beredar unggahan tautan [arsip] dari akun Facebook “?????????? ??????????????...;[PENIPUAN] Tautan Pendaftaran Undian Berhadiah...;Hadiah;Beredar unggahan tautan [arsip] dari akun...;05/02/2026
https://turnbackhoax.id/articles?category=hadiah&page=2;[PENIPUAN] Tautan Pendaftaran Undian BRImo Festival;Akun Facebook “Undian Berhadian Di Brimo Festival Bank BRI...;[PENIPUAN] Tautan Pendaftaran Undian BRImo...;Hadiah;Akun Facebook “Undian Berhadian Di Brimo...;03/02/2026
https://turnbackhoax.id/articles?category=hadiah&page=2;[PENIPUAN] Tautan Layanan Program BBM Gratis;Beredar foto [arsip] dari akun TikTok “ptpertaminaperseroo” pada Rabu...;[PENIPUAN] Tautan Layanan Program BBM...;Hadiah;Beredar foto [arsip] dari akun TikTok...;02/02/2026
https://turnbackhoax.id/articles?category=hadiah&page=3;[PENIPUAN] Dedi Mulyadi Bagi-Bagi Uang Lewat Kuis...;Akun Facebook “K.D.M berbagi hadiah” pada Jumat (9/1/2026) membagikan...;[PENIPUAN] Dedi Mulyadi Bagi-Bagi Uang...;Hadiah;Akun Facebook “K.D.M berbagi hadiah” pada...;30/01/2026
https://turnbackhoax.id/articles?category=hadiah&page=3;[PENIPUAN] Tautan Pendaftaran Undian Berhadiah Bank Sulteng...;Beredar unggahan tautan [arsip] dari akun Facebook “Menandai Anda...;[PENIPUAN] Tautan Pendaftaran Undian Berhadiah...;Hadiah;Beredar unggahan tautan [arsip] dari akun...;28/01/2026
https://turnbackhoax.id/articles?category=hadiah&page=3;[PENIPUAN] Tautan Pendaftaran Undian Berhadiah Bank Kalteng...;Beredar unggahan tautan [arsip] dari akun Facebook “Bank BPD...;[PENIPUAN] Tautan Pendaftaran Undian Berhadiah...;Hadiah;Beredar unggahan tautan [arsip] dari akun...;28/01/2026
https://turnbackhoax.id/articles?category=hadiah&page=3;[PENIPUAN] Undian Berhadiah dari Bank Jateng;Beredar unggahan tautan [arsip] dari akun Facebook “Info Jateng”...;[PENIPUAN] Undian Berhadiah dari Bank...;Hadiah;Beredar unggahan tautan [arsip] dari akun...;19/01/2026
https://turnbackhoax.id/articles?category=hadiah&page=3;[PENIPUAN] Undian Berhadiah Bank Aceh 2026;Beredar unggahan tautan [arsip] dari akun Facebook “Promo Akhir...;[PENIPUAN] Undian Berhadiah Bank Aceh...;Hadiah;Beredar unggahan tautan [arsip] dari akun...;16/01/2026
https://turnbackhoax.id/articles?category=hadiah&page=3;[PENIPUAN] Pengusaha Haji Isam Bagi-bagi Uang Melalui...;Akun Facebook “Berbagi Rejeki” pada Rabu (24/12/2025) membagikan video...;[PENIPUAN] Pengusaha Haji Isam Bagi-bagi...;Hadiah;Akun Facebook “Berbagi Rejeki” pada Rabu...;02/01/2026
https://turnbackhoax.id/articles?category=hadiah&page=3;[PENIPUAN] Ivan Gunawan Bagi-Bagi Uang Khusus Lansia;Akun Facebook “Pelunas Hutang Real” pada Rabu (17/12/2025) membagikan...;[PENIPUAN] Ivan Gunawan Bagi-Bagi Uang...;Hadiah;Akun Facebook “Pelunas Hutang Real” pada...;18/12/2025
https://turnbackhoax.id/articles?category=hadiah&page=3;[PENIPUAN] Video Kuis Tebak Nama Kota oleh...;Pada Minggu (9/11/2025), beredar sebuah video (arsip cadangan) di...;[PENIPUAN] Video Kuis Tebak Nama...;Hadiah;Pada Minggu (9/11/2025), beredar sebuah video...;02/12/2025
https://turnbackhoax.id/articles?category=hadiah&page=3;[PENIPUAN] Kuis Berhadiah Puluhan Juta dari Dedi...;Akun TikTok “bapak.berbagi.had” pada Senin (14/4/2025) membagikan video [arsip],...;[PENIPUAN] Kuis Berhadiah Puluhan Juta...;Hadiah;Akun TikTok “bapak.berbagi.had” pada Senin (14/4/2025)...;30/11/2025
https://turnbackhoax.id/articles?category=hadiah&page=3;[PENIPUAN] Ustaz Ujang Bustomi Bagi-Bagi Uang melalui...;Akun Facebook “PT perusahaan uangtunai” pada Kamis (20/11/2025) membagikan...;[PENIPUAN] Ustaz Ujang Bustomi Bagi-Bagi...;Hadiah;Akun Facebook “PT perusahaan uangtunai” pada...;21/11/2025
https://turnbackhoax.id/articles?category=hadiah&page=4;"[PENIPUAN] Tautan ""Undian Berhadiah Bank Aceh""";Beredar unggahan tautan [arsip] dari akun Facebook “Gebyar Action...;"[PENIPUAN] Tautan ""Undian Berhadiah Bank...";Hadiah;Beredar unggahan tautan [arsip] dari akun...;17/11/2025
https://turnbackhoax.id/articles?category=hadiah&page=4;"[PENIPUAN] Tautan ""Undian Berhadiah Bank Jateng”";Pada Selasa (4/11/2025) akun Facebook “Menandai anda sebagai pemenang”...;"[PENIPUAN] Tautan ""Undian Berhadiah Bank...";Hadiah;Pada Selasa (4/11/2025) akun Facebook “Menandai...;12/11/2025
https://turnbackhoax.id/articles?category=hadiah&page=4;[PENIPUAN] Aktris Amanda Manopo Bagi-Bagi Uang Lewat...;Akun Facebook “Ari Kusuma” pada Senin (27/10/2025) membagikan video...;[PENIPUAN] Aktris Amanda Manopo Bagi-Bagi...;Hadiah;Akun Facebook “Ari Kusuma” pada Senin...;05/11/2025
https://turnbackhoax.id/articles?category=hadiah&page=4;[PENIPUAN] Penyanyi Lesti Kejora Bagi-Bagi Uang untuk...;Akun Facebook “Pelunas Hutang Real” pada Jumat (24/10/2025) membagikan...;[PENIPUAN] Penyanyi Lesti Kejora Bagi-Bagi...;Hadiah;Akun Facebook “Pelunas Hutang Real” pada...;04/11/2025
https://turnbackhoax.id/articles?category=hadiah&page=4;[PENIPUAN] Video “Ashanty Bagi-Bagi Uang”;Akun Facebook “Ashanty Berbagi Rezeki” pada Rabu (24/9/2025) mengunggah...;[PENIPUAN] Video “Ashanty Bagi-Bagi Uang”;Hadiah;Akun Facebook “Ashanty Berbagi Rezeki” pada...;14/10/2025
https://turnbackhoax.id/articles?category=hadiah&page=4;[PENIPUAN] Tautan Bantuan Bibit Pohon Gratis dari...;Akun Facebook “Bantuan Pemerintah” pada Selasa (9/9/2025) mengunggah video...;[PENIPUAN] Tautan Bantuan Bibit Pohon...;Hadiah;Akun Facebook “Bantuan Pemerintah” pada Selasa...;27/09/2025
https://turnbackhoax.id/articles?category=hadiah&page=4;[PENIPUAN] Gebyar Hadiah Ratusan Juta dari Tolak...;Akun Facebook “PT Industri Jamu Sido Muncul Tbk” pada...;[PENIPUAN] Gebyar Hadiah Ratusan Juta...;Hadiah;Akun Facebook “PT Industri Jamu Sido...;24/11/2024
https://turnbackhoax.id/articles?category=hadiah&page=4;[PENIPUAN] Cagub Jabar Dedi Mulyadi Berbagi Uang...;Beredar dua video yang menunjukkan Dedi Mulyadi (Calon Gubernur...;[PENIPUAN] Cagub Jabar Dedi Mulyadi...;Hadiah;Beredar dua video yang menunjukkan Dedi...;23/11/2024
https://turnbackhoax.id/articles?category=hadiah&page=4;[PENIPUAN] Kuis Tebak Kata dari Cagub Jabar...;Akun TikTok “kangdedymulyadi00” mengunggah video [arsip] berisi klaim Calon...;[PENIPUAN] Kuis Tebak Kata dari...;Hadiah;Akun TikTok “kangdedymulyadi00” mengunggah video [arsip]...;21/11/2024
https://turnbackhoax.id/articles?category=hadiah&page=4;[PENIPUAN] Mamah Dedeh Mau Kasih Bantuan Rp35...;Akun Instagram “bisnisonline2298” pada Selasa (29/11/2024) membagikan video [arsip]...;[PENIPUAN] Mamah Dedeh Mau Kasih...;Hadiah;Akun Instagram “bisnisonline2298” pada Selasa (29/11/2024)...;20/11/2024
https://turnbackhoax.id/articles?category=hadiah&page=5;[PENIPUAN] Cagub Jatim Khofifah Bagi-Bagi Uang Puluhan...;Beredar video [arsip] dari akun TikTok “khofifah_indar.official” yang memperlihatkan...;[PENIPUAN] Cagub Jatim Khofifah Bagi-Bagi...;Hadiah;Beredar video [arsip] dari akun TikTok...;20/11/2024
https://turnbackhoax.id/articles?category=hadiah&page=5;[PENIPUAN] Menkomdigi Meutya Hafid Mau Bagi-Bagi Rp20...;Akun TikTok “Meutya Hafid” pada Selasa (22/10/2024) mengunggah video...;[PENIPUAN] Menkomdigi Meutya Hafid Mau...;Hadiah;Akun TikTok “Meutya Hafid” pada Selasa...;20/11/2024
https://turnbackhoax.id/articles?category=hadiah&page=5;[PENIPUAN] Tautan Akses Bantuan BUMN Klaster Pangan;Akun Facebook “BUMN Holding Pangan” pada Senin (28/10/2024) membagikan...;[PENIPUAN] Tautan Akses Bantuan BUMN...;Hadiah;Akun Facebook “BUMN Holding Pangan” pada...;19/11/2024
https://turnbackhoax.id/articles?category=hadiah&page=5;[PENIPUAN] Calon Bupati Pemalang Vicky Prasetyo Bagikan...;Akun TikTok “vicki_prastioo” pada Selasa (24/9/2024) membagikan video [arsip],...;[PENIPUAN] Calon Bupati Pemalang Vicky...;Hadiah;Akun TikTok “vicki_prastioo” pada Selasa (24/9/2024)...;15/11/2024
https://turnbackhoax.id/articles?category=hadiah&page=5;[PENIPUAN] Program BBM Gratis di SPBU Pertamina;Akun TikTok “pertamina889” pada Jumat (8/11/2024) membagikan video [arsip]...;[PENIPUAN] Program BBM Gratis di...;Hadiah;Akun TikTok “pertamina889” pada Jumat (8/11/2024)...;14/11/2024
https://turnbackhoax.id/articles?category=hadiah&page=5;[PENIPUAN] Rans Entertainment Bikin Giveaway, Kepolisian RI...;Akun Facebook “RANS ENTERTAINMENT FAMILY 2024” pada Jumat (25/10/2024)...;[PENIPUAN] Rans Entertainment Bikin Giveaway,...;Hadiah;Akun Facebook “RANS ENTERTAINMENT FAMILY 2024”...;14/11/2024
https://turnbackhoax.id/articles?category=hadiah&page=5;[PENIPUAN] Menteri Agama Nasaruddin Umar Bagi-Bagi Bantuan;Akun TikTok “nasaruddinumar.new” pada Jumat (1/11/2024) membagikan video [arsip],...;[PENIPUAN] Menteri Agama Nasaruddin Umar...;Hadiah;Akun TikTok “nasaruddinumar.new” pada Jumat (1/11/2024)...;06/11/2024
https://turnbackhoax.id/articles?category=hadiah&page=5;[PENIPUAN] Denny Cagur Janjikan Bantuan Biaya Sekolah...;Akun TikTok “dennymseyxg” pada Kamis (24/10/2024) mengunggah video [arsip]...;[PENIPUAN] Denny Cagur Janjikan Bantuan...;Hadiah;Akun TikTok “dennymseyxg” pada Kamis (24/10/2024)...;05/11/2024
https://turnbackhoax.id/articles?category=hadiah&page=5;[PENIPUAN] Anggota DPR Uya Kuya Berbagi Hadiah...;Akun TikTok “uya.kuya35” pada Selasa (8/10/2024) membagikan video [arsip]...;[PENIPUAN] Anggota DPR Uya Kuya...;Hadiah;Akun TikTok “uya.kuya35” pada Selasa (8/10/2024)...;03/11/2024
https://turnbackhoax.id/articles?category=hadiah&page=5;[PENIPUAN] Wapres RI Gibran Bagi-Bagi Puluhan Juta...;Akun TikTok “gibranrakkabumingraka1” pada Kamis (31/10/2024) mengunggah video [arsip]...;[PENIPUAN] Wapres RI Gibran Bagi-Bagi...;Hadiah;Akun TikTok “gibranrakkabumingraka1” pada Kamis (31/10/2024)...;01/11/2024
https://turnbackhoax.id/articles?category=hadiah&page=6;[PENIPUAN] Program Gebyar Undian Miliar Rupiah dari...;Sejak Senin (14/10/2024) beredar unggahan foto [arsip] dari Halaman...;[PENIPUAN] Program Gebyar Undian Miliar...;Hadiah;Sejak Senin (14/10/2024) beredar unggahan foto...;31/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=6;[PENIPUAN] Akun TikTok “King Kevin” Berbagi Hadiah;“??ambil hadiah di bawah?? ???????????????????? wa[dot]me/message/GV3LBB6EXCWSP1”;[PENIPUAN] Akun TikTok “King Kevin”...;Hadiah;“??ambil hadiah di bawah?? ???????????????????? wa[dot]me/message/GV3LBB6EXCWSP1”;30/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=6;[PENIPUAN] Jadi Anggota DPR, Eko Patrio Kasih...;Akun instagram “adm_berbagi_hadiah” pada Selasa (8/10/2024) membagikan video [arsip]...;[PENIPUAN] Jadi Anggota DPR, Eko...;Hadiah;Akun instagram “adm_berbagi_hadiah” pada Selasa (8/10/2024)...;29/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=6;[PENIPUAN] Ruben Onsu Buat Kuis Tebak Kata,...;Akun Facebook “Riska Saputri” pada Rabu (16/10/2024) membagikan video...;[PENIPUAN] Ruben Onsu Buat Kuis...;Hadiah;Akun Facebook “Riska Saputri” pada Rabu...;25/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=6;[PENIPUAN] Baim Wong Bagi-Bagi Uang Puluhan Juta;Sejumlah akun TikTok membagikan konten, isinya menampilkan Baim Wong...;[PENIPUAN] Baim Wong Bagi-Bagi Uang...;Hadiah;Sejumlah akun TikTok membagikan konten, isinya...;25/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=6;[PENIPUAN] Jadi Anggota DPR, Verrell Bramasta Bagi-Bagi...;Akun TikTok “varelbramasta.be” pada Selasa (8/10/2024) mengunggah video [arsip]...;[PENIPUAN] Jadi Anggota DPR, Verrell...;Hadiah;Akun TikTok “varelbramasta.be” pada Selasa (8/10/2024)...;24/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=6;[PENIPUAN] Pengusaha Haji Isam Bakal Transfer Rp50...;Akun TikTok “haji.isam.id” pada Sabtu (19/9/2024) mengunggah video [arsip]...;[PENIPUAN] Pengusaha Haji Isam Bakal...;Hadiah;Akun TikTok “haji.isam.id” pada Sabtu (19/9/2024)...;24/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=6;[PENIPUAN] Akun Facebook Daviena Berbagi Rejeki Motor...;Akun Facebook “Daviena” (fb.com//umul.her.5) pada Minggu (20/10/2024) mengunggah foto...;[PENIPUAN] Akun Facebook Daviena Berbagi...;Hadiah;Akun Facebook “Daviena” (fb.com//umul.her.5) pada Minggu...;23/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=6;[PENIPUAN] Video Soimah Janji Kasih Uang Rp50...;Akun TikTok “soimah_pancawatireall1” pada Senin (26/8/2024) mengunggah video [arsip]...;[PENIPUAN] Video Soimah Janji Kasih...;Hadiah;Akun TikTok “soimah_pancawatireall1” pada Senin (26/8/2024)...;23/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=6;[PENIPUAN] Ivan Gunawan Bagi-Bagi Rp20 untuk Modal...;Beredar video reels [arsip] dari akun Instagram “berbagirezeki” yang...;[PENIPUAN] Ivan Gunawan Bagi-Bagi Rp20...;Hadiah;Beredar video reels [arsip] dari akun...;21/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=7;[SALAH] Syukuran Jadi Ketua DPR Lagi, Puan...;"Beredar video [arsip] dari akun TikTok “puan.maharaniri"" yang mengklaim...";[SALAH] Syukuran Jadi Ketua DPR...;Hadiah;Beredar video [arsip] dari akun TikTok...;21/10/2024
https://turnbackhoax.id/articles?category=hadiah&page=7;[PENIPUAN] Sri Mulyani Mau Transfer Rp50 Juta...;Sejak Selasa (15/10/2024), di TikTok beredar video [arsip] dari...;[PENIPUAN] Sri Mulyani Mau Transfer...;Hadiah;Sejak Selasa (15/10/2024), di TikTok beredar...;21/10/2024
